animal_id,name,animal_type,outcome_subtype,sex_upon_outcome,age_upon_outcome
A683016,,Cat,Suffering,Intact Male,4 weeks
A683024,*Ruby,Dog,Medical,Intact Female,13 years
A683084,,Cat,Suffering,Intact Female,12 years
A683189,,Cat,Suffering,Intact Female,4 weeks
A683197,*Herbie,Dog,Behavior,Intact Male,2 years
A683224,,Cat,Suffering,Intact Male,1 month
A683255,*Arthur,Cat,Suffering,Intact Male,1 month
A683259,X,Dog,Medical,Intact Female,10 years
A683303,,Cat,Suffering,Intact Male,1 month
A683309,,Dog,Behavior,Spayed Female,7 years
A683310,,Dog,Suffering,Intact Male,1 weeks
A683354,,Dog,Suffering,Intact Male,3 years
A683394,*Redford,Dog,Behavior,Intact Male,1 year
A683403,*Koko,Cat,Medical,Intact Female,1 month
A683433,*Vera,Cat,Medical,Intact Female,1 month
A683491,,Dog,Suffering,Intact Female,2 years
A683519,,Cat,Suffering,Intact Female,2 months
A683533,Keah,Cat,Suffering,Spayed Female,8 years
A683571,,Cat,Suffering,Intact Male,1 week
A683586,,Cat,Suffering,Intact Female,12 years
A683587,Nubbins,Cat,Suffering,Neutered Male,8 years
A683618,,Cat,Suffering,Intact Male,3 weeks
A683619,,Cat,Rabies Risk,Intact Male,3 weeks
A683634,,Cat,Suffering,Intact Male,4 years
A683649,,Cat,Suffering,Intact Female,7 years
A683654,,Dog,Behavior,Neutered Male,1 year
A683661,Gracie,Cat,Suffering,Spayed Female,11 years
A683672,Oso,Dog,Aggressive,Neutered Male,2 years
A683692,,Dog,Aggressive,Intact Female,3 years
A683775,Logan,Cat,Suffering,Neutered Male,6 years
A683804,L.J.,Cat,Suffering,Intact Female,1 year
A683830,,Cat,Suffering,Neutered Male,10 years
A683833,,Dog,Rabies Risk,Intact Female,2 years
A683840,,Dog,Suffering,Intact Female,12 years
A683862,Kayla,Dog,Aggressive,Spayed Female,6 years
A683879,,Cat,Suffering,Intact Male,1 month
A683886,Toby,Dog,Aggressive,Intact Male,2 years
A683899,,Cat,Suffering,Intact Female,2 years
A683920,,Dog,Suffering,Intact Female,2 years
A683930,,Dog,Suffering,Intact Female,5 months
A683941,,Cat,Suffering,Intact Male,1 year
A683973,,Cat,Suffering,Neutered Male,5 years
A683997,Knight,Dog,Behavior,Neutered Male,2 years
A684040,Patch,Dog,Suffering,Spayed Female,16 years
A684041,*Bree,Dog,Aggressive,Spayed Female,4 years
A684054,Frank,Dog,Behavior,Neutered Male,2 years
A684059,,Cat,Suffering,Intact Male,1 month
A684066,,Cat,Suffering,Intact Male,1 month
A684097,,Cat,Suffering,Intact Female,9 months
A684110,,Cat,Suffering,Intact Female,4 weeks
A684116,Niblet,Cat,Suffering,Neutered Male,12 years
A684158,,Cat,Suffering,Intact Male,1 year
A684209,*Stitch,Dog,Behavior,Neutered Male,1 year
A684265,Heartbreaker,Dog,Aggressive,Intact Male,2 years
A684266,,Cat,Suffering,Intact Male,2 months
A684272,,Dog,Aggressive,Intact Female,4 months
A684274,Oreo,Dog,Aggressive,Intact Female,6 months
A684277,Shorty,Dog,Aggressive,Intact Male,1 year
A684282,Cheyenne,Dog,Aggressive,Intact Female,4 months
A684290,Lefty,Dog,Aggressive,Intact Male,4 months
A684292,,Dog,Aggressive,Intact Male,2 years
A684297,Dj,Dog,Suffering,Intact Male,3 months
A684306,Shadow,Dog,Suffering,Neutered Male,14 years
A684319,Kisses,Dog,Aggressive,Intact Female,2 years
A684320,Missy,Dog,Aggressive,Intact Female,2 years
A684321,Snoop Dog,Dog,Aggressive,Intact Female,2 years
A684336,,Cat,Suffering,Intact Male,1 month
A684369,,Dog,Suffering,Intact Male,2 years
A684370,,Cat,Suffering,Unknown,15 years
A684396,,Dog,Suffering,Intact Male,1 month
A684400,Riley,Dog,Suffering,Neutered Male,9 years
A684407,Snow,Dog,Suffering,Spayed Female,9 years
A684441,,Cat,Suffering,Intact Male,1 year
A684444,,Dog,Suffering,Intact Male,1 month
A684461,,Dog,Suffering,Neutered Male,15 years
A684538,Tui,Cat,Suffering,Neutered Male,1 year
A684665,,Dog,Suffering,Intact Female,4 years
A684698,,Cat,Suffering,Intact Male,1 month
A684711,*Wally,Cat,Suffering,Intact Male,1 month
A684731,*Benny,Cat,Suffering,Intact Male,1 month
A684751,,Cat,Suffering,Intact Female,2 years
A684752,*Liam,Dog,Behavior,Neutered Male,2 years
A684803,Oscar,Dog,Suffering,Neutered Male,13 years
A684817,,Cat,Suffering,Intact Male,1 month
A684862,*Kennedy,Dog,Behavior,Neutered Male,2 years
A684871,Boomer,Dog,Aggressive,Neutered Male,1 year
A684875,,Dog,Suffering,Intact Female,4 months
A684897,,Cat,Suffering,Intact Female,1 year
A684907,Sammie,Dog,Suffering,Intact Male,12 years
A684913,Jack,Dog,Behavior,Neutered Male,1 year
A684967,*Superman,Dog,Rabies Risk,Neutered Male,3 years
A684975,Harley,Dog,Aggressive,Intact Male,6 years
A684976,,Cat,Suffering,Unknown,6 years
A684980,Gyula,Dog,Aggressive,Neutered Male,3 years
A685039,*Chilli,Cat,Suffering,Neutered Male,12 years
A685087,,Cat,Suffering,Unknown,1 year
A685092,,Cat,Suffering,Intact Female,7 months
A685133,*Trudy,Dog,Behavior,Spayed Female,1 year
A685176,*Forrest,Dog,Suffering,Intact Male,3 months
A685182,,Dog,Behavior,Intact Male,1 year
A685183,,Dog,Suffering,Neutered Male,8 years
A685187,,Cat,Suffering,Intact Female,3 months
A685208,,Cat,Suffering,Neutered Male,10 years
A685210,Chico,Dog,Behavior,Neutered Male,5 years
A685235,,Cat,Suffering,Intact Male,9 months
A685249,Booger,Dog,Suffering,Neutered Male,6 years
A685284,,Cat,Suffering,Unknown,1 week
A685285,,Cat,Suffering,Unknown,1 week
A685286,,Cat,Suffering,Intact Female,1 year
A685301,Brandie,Dog,Aggressive,Intact Female,2 years
A685384,,Cat,Suffering,Neutered Male,10 years
A685414,,Cat,Suffering,Unknown,8 years
A685421,,Cat,Suffering,Spayed Female,8 years
A685423,,Cat,Suffering,Neutered Male,12 years
A685453,,Cat,Suffering,Intact Male,1 year
A685475,,Dog,Suffering,Spayed Female,8 years
A685490,Jake,Dog,Suffering,Intact Male,11 years
A685548,,Dog,Suffering,Intact Male,4 years
A685551,,Dog,Suffering,Spayed Female,10 years
A685572,Sissy,Cat,Suffering,Unknown,13 years
A685579,,Cat,Medical,Intact Female,2 months
A685595,Gabriel,Dog,Aggressive,Neutered Male,1 year
A685618,,Cat,Suffering,Intact Female,5 years
A685670,,Cat,Suffering,Intact Male,1 month
A685683,Tobie,Dog,Suffering,Neutered Male,2 months
A685700,*Summerlee,Dog,Suffering,Spayed Female,14 years
A685701,,Cat,Suffering,Intact Female,8 years
A685729,,Cat,Suffering,Neutered Male,15 years
A685740,,Cat,Suffering,Intact Male,3 years
A685760,,Dog,Aggressive,Intact Male,3 years
A685761,,Dog,Aggressive,Intact Female,1 year
A685779,,Cat,Suffering,Unknown,3 months
A685816,,Cat,Suffering,Spayed Female,4 years
A685822,,Dog,Suffering,Intact Female,5 years
A685827,Papi,Dog,Suffering,Intact Male,1 month
A685845,Sabo,Dog,Aggressive,Neutered Male,2 years
A685931,Boss,Dog,Behavior,Neutered Male,1 year
A685986,,Dog,Suffering,Intact Male,9 years
A686021,*Stanley,Dog,Suffering,Intact Male,6 months
A686063,,Cat,Suffering,Neutered Male,2 years
A686086,Rosie,Cat,Suffering,Spayed Female,2 years
A686139,,Cat,Suffering,Intact Male,3 months
A686218,Sam,Cat,Suffering,Intact Female,1 month
A686245,,Cat,Suffering,Intact Female,8 years
A686293,Cali,Dog,Aggressive,Spayed Female,3 years
A686294,Lady,Dog,Aggressive,Spayed Female,3 years
A686296,Zoe,Dog,Aggressive,Spayed Female,5 months
A686297,Boss,Dog,Aggressive,Neutered Male,5 months
A686312,,Cat,Suffering,Intact Female,3 months
A686371,Taker,Dog,Aggressive,Neutered Male,1 year
A686415,Kobi,Dog,Behavior,Intact Male,2 years
A686510,Smokey,Dog,Aggressive,Neutered Male,6 years
A686579,,Cat,Suffering,Intact Female,2 months
A686599,,Cat,Suffering,Intact Female,4 months
A686616,,Dog,Medical,Intact Male,5 years
A686683,Ira,Dog,Suffering,Intact Male,12 years
A686715,,Dog,Suffering,Intact Female,1 year
A686739,,Cat,Suffering,Intact Male,1 month
A686777,Gandalf,Cat,Suffering,Neutered Male,3 years
A686782,,Cat,Suffering,Intact Male,1 month
A686809,,Cat,Suffering,Intact Female,3 weeks
A686834,,Cat,Suffering,Intact Male,1 week
A686842,*Herman,Dog,Aggressive,Neutered Male,2 years
A686857,,Cat,Suffering,Intact Male,3 months
A686861,,Cat,Suffering,Spayed Female,2 years
A686862,,Cat,Suffering,Intact Male,5 months
A686888,Chiquita,Dog,Suffering,Intact Female,14 years
A686926,,Cat,Suffering,Intact Female,13 years
A686958,Ace,Dog,Aggressive,Neutered Male,6 years
A686962,Chikis,Dog,Aggressive,Spayed Female,1 year
A687005,,Cat,Suffering,Spayed Female,3 years
A687020,Matilda,Dog,Suffering,Spayed Female,6 years
A687025,,Dog,Suffering,Intact Male,10 years
A687082,,Cat,Suffering,Intact Female,4 months
A687090,Brownie,Dog,Rabies Risk,Intact Male,1 year
A687099,Chop,Dog,Rabies Risk,Intact Male,9 months
A687170,,Cat,Suffering,Intact Male,1 year
A687174,*Beau,Dog,Suffering,Neutered Male,3 years
A687223,*Michael,Dog,Aggressive,Intact Male,3 years
A687244,,Dog,Suffering,Intact Female,10 years
A687295,,Dog,Aggressive,Intact Male,3 years
A687296,,Dog,Aggressive,Intact Female,4 years
A687302,Rusty,Dog,Aggressive,Neutered Male,3 years
A687331,,Cat,Suffering,Intact Male,2 months
A687453,,Dog,Aggressive,Intact Male,2 years
A687514,,Cat,Suffering,Spayed Female,2 months
A687580,Chocolate,Dog,Aggressive,Intact Male,2 years
A687590,Rocco,Dog,Aggressive,Intact Male,4 years
A687604,,Cat,Suffering,Intact Male,4 years
A687608,,Cat,Suffering,Intact Female,1 month
A687637,,Cat,Suffering,Intact Female,5 months
A687699,,Dog,Suffering,Intact Female,1 year
A687748,,Dog,Suffering,Intact Female,9 months
A687845,Lala,Dog,Behavior,Intact Female,2 years
A687866,Gray,Cat,Rabies Risk,Neutered Male,2 years
A687914,Ginger,Cat,Suffering,Intact Female,2 years
A687917,,Cat,Suffering,Intact Female,15 years
A687919,,Cat,Suffering,Intact Female,1 month
A687995,,Cat,Medical,Intact Male,1 year
A688003,,Cat,Suffering,Intact Male,5 months
A688009,Junior,Dog,Aggressive,Intact Male,1 year
A688028,*Maximus,Dog,Aggressive,Neutered Male,2 years
A688059,*Tina,Cat,Suffering,Intact Female,5 weeks
A688070,*Tangelo,Cat,Medical,Intact Male,1 month
A688073,,Cat,Suffering,Intact Female,10 years
A688078,,Cat,Suffering,Unknown,2 months
A688115,Duke,Dog,Rabies Risk,Neutered Male,1 year
A688122,*Grace,Dog,Suffering,Spayed Female,12 years
A688127,,Dog,Suffering,Intact Female,3 days
A688160,*Freddie,Dog,Aggressive,Intact Male,2 years
A688174,,Cat,Suffering,Intact Female,10 years
A688176,*Paloma,Dog,Behavior,Spayed Female,2 years
A688196,Max,Dog,Suffering,Neutered Male,9 years
A688263,,Cat,Suffering,Neutered Male,3 years
A688287,,Dog,Suffering,Intact Male,5 years
A688309,*Bambi,Dog,Behavior,Intact Female,2 years
A688316,,Cat,Suffering,Intact Male,2 weeks
A688317,,Cat,Suffering,Intact Male,2 weeks
A688321,*Jenny,Cat,Suffering,Spayed Female,1 year
A688430,Kiedis,Dog,Suffering,Neutered Male,6 years
A688437,Duke,Dog,Suffering,Neutered Male,14 years
A688441,Zee,Cat,Suffering,Spayed Female,7 months
A688448,*Chauncy,Dog,Behavior,Neutered Male,1 year
A688492,,Dog,Suffering,Intact Female,8 years
A688582,*Caramel,Dog,Behavior,Intact Female,3 years
A688658,,Cat,Suffering,Intact Male,1 month
A688721,Inky,Cat,Suffering,Neutered Male,12 years
A688768,*Tiffany,Dog,Aggressive,Spayed Female,1 year
A688785,,Dog,Aggressive,Intact Male,2 years
A688820,Freckles,Dog,Aggressive,Intact Female,8 years
A688841,,Cat,Suffering,Intact Female,2 months
A688843,*Jesse,Cat,Rabies Risk,Neutered Male,7 months
A688883,,Dog,Behavior,Intact Male,1 year
A688907,,Cat,Suffering,Unknown,2 years
A689039,Bruno,Dog,Aggressive,Neutered Male,1 year
A689062,Lita,Dog,Aggressive,Intact Female,5 years
A689071,,Cat,Suffering,Intact Female,8 months
A689075,,Cat,Suffering,Spayed Female,2 years
A689089,,Cat,Suffering,Neutered Male,13 years
A689099,*Cherry,Dog,Rabies Risk,Spayed Female,2 years
A689124,,Dog,Suffering,Intact Male,9 years
A689138,,Cat,Suffering,Intact Female,4 weeks
A689141,,Dog,Suffering,Intact Female,1 month
A689146,,Cat,Rabies Risk,Intact Female,1 month
A689192,,Cat,Suffering,Intact Male,3 weeks
A689193,,Cat,Suffering,Intact Male,3 weeks
A689194,*Nimby,Dog,Aggressive,Intact Male,3 years
A689208,,Cat,Suffering,Neutered Male,2 years
A689260,Gambit,Dog,Suffering,Neutered Male,7 years
A689295,*Shakespeare,Cat,Suffering,Intact Male,1 month
A689342,Harley,Dog,Suffering,Neutered Male,1 year
A689371,,Cat,Suffering,Unknown,3 weeks
A689391,,Cat,Suffering,Intact Male,1 month
A689393,,Dog,Suffering,Intact Male,2 years
A689422,*Belle,Dog,Aggressive,Intact Female,7 years
A689496,Winston,Dog,Suffering,Intact Male,10 years
A689512,,Cat,Suffering,Unknown,3 years
A689624,*Frank,Dog,Medical,Neutered Male,3 years
A689626,,Cat,Suffering,Intact Female,1 month
A689711,,Cat,Suffering,Neutered Male,7 years
A689728,,Dog,Behavior,Intact Female,3 years
A689731,,Dog,Behavior,Intact Male,1 year
A689739,,Dog,Suffering,Intact Female,2 years
A689783,,Cat,Suffering,Intact Female,5 months
A689785,,Dog,Suffering,Neutered Male,10 years
A689789,,Dog,Medical,Intact Male,2 years
A689794,*Lyle,Dog,Behavior,Neutered Male,2 years
A689810,,Cat,Suffering,Intact Male,1 month
A689821,Cookie,Dog,Aggressive,Intact Female,1 year
A689823,,Dog,Medical,Intact Male,4 months
A689827,Hulk,Dog,Aggressive,Neutered Male,3 years
A689957,Weiser,Cat,Suffering,Neutered Male,20 years
A689961,Max,Dog,Behavior,Intact Male,1 year
A689965,,Cat,Suffering,Intact Male,1 year
A689981,,Dog,Suffering,Intact Female,9 years
A689988,Chico,Dog,Suffering,Intact Male,10 years
A690002,,Cat,Medical,Intact Male,8 years
A690034,,Cat,Suffering,Intact Female,6 years
A690069,,Cat,Suffering,Intact Female,3 weeks
A690081,,Dog,Suffering,Intact Male,4 months
A690108,Ruffy,Dog,Rabies Risk,Neutered Male,4 years
A690146,Tiger,Dog,Aggressive,Neutered Male,4 years
A690147,Bruiser,Dog,Aggressive,Intact Male,11 years
A690216,*Luigi,Dog,Behavior,Intact Male,1 year
A690217,Moose,Dog,Aggressive,Neutered Male,1 year
A690235,*Forrest,Dog,Suffering,Neutered Male,8 years
A690256,*Mimi,Dog,Aggressive,Spayed Female,1 year
A690263,,Cat,Suffering,Intact Male,3 years
A690285,,Dog,Suffering,Unknown,8 years
A690297,,Cat,Suffering,Spayed Female,1 year
A690386,,Cat,Suffering,Intact Male,4 months
A690405,Parker,Dog,Aggressive,Neutered Male,4 years
A690406,,Cat,Suffering,Neutered Male,4 years
A690423,Lolly,Dog,Aggressive,Spayed Female,4 years
A690435,*Portia,Dog,Aggressive,Spayed Female,5 years
A690446,,Cat,Suffering,Neutered Male,2 years
A690447,,Dog,Suffering,Neutered Male,14 years
A690456,Bonnie,Dog,Aggressive,Intact Female,4 years
A690462,,Cat,Suffering,Intact Female,6 months
A690516,,Cat,Suffering,Intact Female,5 years
A690525,*Trenton,Dog,Behavior,Neutered Male,1 year
A690547,,Dog,Suffering,Intact Female,2 years
A690571,,Dog,Suffering,Intact Female,2 years
A690618,,Cat,Suffering,Intact Female,4 weeks
A690696,*Leia,Dog,Behavior,Intact Female,5 years
A690705,Roxy,Dog,Behavior,Intact Female,1 year
A690737,,Cat,Suffering,Intact Male,1 weeks
A690757,Beans,Dog,Rabies Risk,Intact Female,1 year
A690763,,Dog,Suffering,Intact Female,9 years
A690765,Magnum Pi,Dog,Behavior,Intact Male,5 years
A690790,,Dog,Aggressive,Intact Male,3 years
A690794,Lennon,Dog,Aggressive,Neutered Male,1 year
A690797,,Cat,Suffering,Intact Male,12 years
A690798,Spot,Dog,Suffering,Intact Male,1 month
A690799,Tips,Dog,Suffering,Intact Female,1 month
A690820,Honey,Dog,Aggressive,Spayed Female,5 years
A690833,*Marmalade,Cat,Suffering,Intact Male,4 weeks
A690843,,Cat,Suffering,Intact Male,1 year
A690845,*Big Red,Dog,Aggressive,Neutered Male,3 years
A690909,,Cat,Suffering,Intact Female,9 years
A690927,,Cat,Suffering,Intact Female,1 month
A691012,Pj,Dog,Aggressive,Neutered Male,4 years
A691020,,Cat,Rabies Risk,Unknown,4 months
A691049,*Ridley,Dog,Behavior,Neutered Male,3 years
A691094,,Cat,Suffering,Intact Female,1 month
A691106,,Cat,Rabies Risk,Intact Female,1 month
A691108,,Cat,Suffering,Unknown,3 months
A691120,,Cat,Suffering,Intact Female,8 months
A691124,,Dog,Suffering,Intact Female,11 years
A691125,,Cat,Suffering,Unknown,3 months
A691240,,Dog,Suffering,Intact Female,10 years
A691259,,Cat,Suffering,Unknown,2 months
A691270,Shorty,Dog,Suffering,Intact Male,1 month
A691277,*Clove,Cat,Suffering,Intact Female,2 months
A691292,,Dog,Aggressive,Intact Male,2 years
A691298,,Cat,Suffering,Intact Male,2 years
A691306,Kane,Dog,Aggressive,Neutered Male,4 years
A691313,,Cat,Suffering,Intact Female,12 years
A691330,,Dog,Suffering,Intact Male,3 years
A691336,Lilipop,Dog,Medical,Spayed Female,5 years
A691337,Pup,Dog,Aggressive,Intact Female,2 years
A691339,Muneca,Dog,Suffering,Intact Female,2 years
A691355,Jonny Cash,Dog,Rabies Risk,Neutered Male,3 years
A691391,,Cat,Medical,Intact Female,3 years
A691405,Angel,Dog,Aggressive,Spayed Female,3 years
A691423,Blacky,Dog,Suffering,Intact Male,7 years
A691437,*Philippe,Cat,Suffering,Intact Male,1 month
A691454,*Beloved,Cat,Suffering,Intact Male,1 year
A691559,Tigey Sue,Cat,Suffering,Spayed Female,12 years
A691580,,Cat,Suffering,Intact Female,1 month
A691587,King,Dog,Court/Investigation,Intact Male,2 years
A691613,*Kasey,Cat,Suffering,Intact Female,2 months
A691626,Raja,Cat,Suffering,Spayed Female,15 years
A691644,,Cat,Suffering,Intact Female,1 month
A691685,,Dog,Suffering,Intact Male,6 years
A691693,,Cat,Suffering,Spayed Female,3 years
A691694,Mango,Cat,Suffering,Spayed Female,10 years
A691702,,Cat,Suffering,Unknown,5 months
A691719,Georgia,Dog,Aggressive,Spayed Female,2 years
A691810,,Dog,Suffering,Intact Female,14 years
A691813,Oso,Dog,Rabies Risk,Intact Male,2 years
A691826,Todd,Cat,Suffering,Neutered Male,11 years
A691828,Lily,Dog,Aggressive,Intact Female,2 years
A691838,Avaddon,Dog,Suffering,Neutered Male,12 years
A691842,,Dog,Suffering,Intact Male,5 months
A691853,,Dog,Suffering,Intact Male,8 years
A691859,,Cat,Suffering,Intact Female,2 years
A691861,,Dog,Suffering,Intact Female,3 years
A691867,,Cat,Suffering,Intact Male,5 months
A691871,,Cat,Suffering,Intact Female,4 weeks
A691902,Chichita,Dog,Aggressive,Intact Female,1 year
A691968,,Cat,Suffering,Intact Female,7 years
A691979,,Cat,Suffering,Intact Female,6 months
A691997,Chicka,Dog,Suffering,Spayed Female,2 years
A692010,,Dog,Suffering,Intact Male,5 years
A692033,Brick,Dog,Court/Investigation,Neutered Male,3 years
A692059,,Cat,Suffering,Intact Male,1 month
A692060,,Cat,Suffering,Intact Female,1 month
A692070,,Cat,Suffering,Intact Female,3 months
A692079,,Cat,Suffering,Intact Female,4 years
A692121,,Cat,Suffering,Neutered Male,1 year
A692122,,Dog,Suffering,Unknown,4 weeks
A692125,,Dog,Behavior,Intact Male,2 years
A692158,,Dog,Suffering,Intact Female,3 months
A692190,Henry,Dog,Suffering,Neutered Male,6 years
A692191,,Dog,Suffering,Intact Female,8 years
A692197,Bubba,Dog,Suffering,Neutered Male,2 years
A692208,,Cat,Suffering,Intact Female,2 months
A692234,,Cat,Suffering,Intact Female,1 month
A692256,,Dog,Suffering,Intact Male,3 years
A692274,Charlie,Dog,Rabies Risk,Neutered Male,4 years
A692322,,Dog,Suffering,Intact Female,2 months
A692344,,Cat,Suffering,Neutered Male,10 years
A692360,,Cat,Suffering,Intact Male,2 years
A692369,Jack,Dog,Rabies Risk,Neutered Male,1 year
A692382,,Dog,Suffering,Intact Male,2 years
A692408,Storm,Dog,Suffering,Spayed Female,5 years
A692414,,Cat,Suffering,Neutered Male,13 years
A692416,,Dog,Suffering,Intact Female,2 years
A692427,,Cat,Suffering,Intact Female,7 months
A692433,,Dog,Suffering,Intact Male,8 months
A692441,Wolfe,Dog,Suffering,Intact Male,7 months
A692444,,Cat,Medical,Intact Male,2 months
A692449,*Daisy,Dog,Aggressive,Spayed Female,2 years
A692465,Mary,Dog,Suffering,Intact Female,1 month
A692472,,Cat,Suffering,Intact Male,2 months
A692485,,Cat,Suffering,Intact Female,20 years
A692500,Kayo,Dog,Aggressive,Neutered Male,6 years
A692535,*Oswald,Cat,Suffering,Spayed Female,12 years
A692632,Nala,Dog,Aggressive,Spayed Female,5 years
A692658,Chicken Kitt,Cat,Suffering,Intact Female,1 month
A692659,,Cat,Suffering,Spayed Female,10 years
A692739,,Cat,Suffering,Intact Male,1 month
A692765,,Cat,Suffering,Intact Male,2 months
A692819,Spider,Dog,Aggressive,Neutered Male,3 years
A692855,*Nero,Dog,Aggressive,Neutered Male,2 years
A692891,,Dog,Suffering,Intact Female,3 months
A692900,,Dog,Suffering,Intact Female,2 years
A692909,Zana,Dog,Aggressive,Spayed Female,1 year
A692956,,Cat,Suffering,Neutered Male,10 years
A693045,,Cat,Suffering,Intact Male,6 years
A693052,Steve,Dog,Suffering,Intact Male,2 years
A693082,Diesel,Dog,Rabies Risk,Neutered Male,2 years
A693122,,Cat,Suffering,Intact Male,1 month
A693144,Troy,Dog,Aggressive,Neutered Male,3 years
A693149,*Simone,Dog,Suffering,Intact Female,8 months
A693165,*Fern,Dog,Suffering,Spayed Female,12 years
A693166,*Sylvia,Cat,Suffering,Spayed Female,10 years
A693224,,Cat,Suffering,Intact Male,1 year
A693256,Shadow,Dog,Aggressive,Intact Male,5 months
A693293,,Dog,Suffering,Intact Male,8 years
A693304,,Dog,Suffering,Intact Female,2 years
A693318,,Dog,Aggressive,Intact Male,2 years
A693319,,Dog,Aggressive,Intact Male,2 years
A693333,,Cat,Suffering,Neutered Male,1 year
A693338,,Dog,Suffering,Intact Male,3 months
A693394,Kini,Dog,Aggressive,Spayed Female,2 years
A693413,,Cat,Suffering,Spayed Female,5 years
A693457,,Cat,Suffering,Intact Female,10 years
A693481,,Cat,Suffering,Intact Male,2 years
A693517,*Chelsea,Dog,Aggressive,Spayed Female,2 years
A693520,,Dog,Suffering,Intact Female,1 year
A693551,Pepper,Dog,Behavior,Neutered Male,13 years
A693562,,Dog,Behavior,Neutered Male,2 years
A693584,Diego,Dog,Suffering,Neutered Male,7 years
A693585,,Dog,Suffering,Intact Female,12 years
A693611,*George,Dog,Suffering,Neutered Male,11 years
A693618,,Dog,Suffering,Intact Male,2 months
A693687,Major,Dog,Behavior,Neutered Male,1 year
A693720,,Cat,Suffering,Intact Female,4 months
A693787,,Dog,Suffering,Intact Male,2 days
A693805,Gray-1,Cat,Suffering,Neutered Male,4 years
A693808,,Cat,Suffering,Intact Male,3 years
A693818,,Cat,Suffering,Intact Male,2 years
A693820,,Dog,Suffering,Intact Female,1 year
A693824,,Cat,Suffering,Intact Female,1 year
A693825,,Cat,Suffering,Intact Female,2 days
A693834,,Cat,Suffering,Unknown,3 years
A693851,,Dog,Suffering,Intact Male,10 years
A693856,Jizzle,Dog,Aggressive,Neutered Male,1 year
A693870,,Dog,Suffering,Intact Male,5 years
A693872,,Cat,Suffering,Intact Male,8 years
A693911,,Dog,Suffering,Intact Female,1 year
A693989,Lobo,Dog,Aggressive,Intact Male,4 years
A693991,Oso,Dog,Aggressive,Intact Male,4 years
A693994,,Dog,Suffering,Intact Male,6 years
A694012,Zorro,Dog,Behavior,Neutered Male,11 years
A694022,,Cat,Suffering,Intact Female,1 month
A694028,,Cat,Suffering,Intact Female,10 years
A694038,,Cat,Suffering,Unknown,2 years
A694062,Bandit,Dog,Rabies Risk,Neutered Male,2 years
A694072,,Cat,Suffering,Unknown,1 year
A694139,,Cat,Suffering,Neutered Male,5 years
A694160,*Annie,Dog,Suffering,Intact Female,2 years
A694165,,Cat,Medical,Intact Female,6 months
A694167,Zeus,Dog,Aggressive,Neutered Male,1 year
A694173,,Dog,Suffering,Intact Male,3 months
A694181,Gorilla,Dog,Aggressive,Intact Male,2 years
A694190,*Lily Pad,Cat,Suffering,Neutered Male,12 years
A694210,,Cat,Suffering,Intact Male,2 years
A694215,Travis,Dog,Aggressive,Intact Male,2 years
A694216,Tucker,Dog,Suffering,Intact Male,9 years
A694223,,Cat,Suffering,Spayed Female,2 years
A694237,Valentine,Dog,Suffering,Intact Male,3 years
A694244,Gatsby,Cat,Suffering,Neutered Male,5 years
A694250,,Cat,Suffering,Intact Female,6 months
A694251,,Dog,Behavior,Intact Female,2 years
A694300,,Dog,Suffering,Intact Male,2 years
A694332,,Dog,Suffering,Intact Male,6 months
A694335,,Cat,Suffering,Intact Male,2 months
A694353,,Cat,Suffering,Intact Female,10 years
A694357,Achilles,Dog,Aggressive,Neutered Male,4 years
A694361,,Cat,Suffering,Intact Female,1 year
A694445,,Cat,Suffering,Intact Male,2 years
A694524,,Cat,Suffering,Unknown,1 year
A694552,Kila,Dog,Aggressive,Spayed Female,15 years
A694553,,Cat,Suffering,Unknown,5 years
A694554,,Cat,Suffering,Intact Female,1 year
A694606,,Dog,Aggressive,Intact Female,4 years
A694649,,Cat,Suffering,Intact Female,1 year
A694690,,Cat,Suffering,Spayed Female,8 years
A694710,,Cat,Rabies Risk,Intact Female,12 years
A694739,*Johnny,Dog,Aggressive,Intact Male,3 years
A694764,,Cat,Suffering,Unknown,3 years
A694798,*Dixie,Dog,Behavior,Spayed Female,2 years
A694829,Fawn,Dog,Rabies Risk,Spayed Female,2 years
A694872,,Cat,Suffering,Intact Female,8 years
A694880,*Sallie,Dog,Rabies Risk,Spayed Female,3 years
A694909,Cookie,Dog,Suffering,Spayed Female,10 years
A694919,,Dog,Suffering,Intact Male,10 years
A694923,*Amos,Dog,Medical,Intact Male,10 years
A694928,,Cat,Suffering,Spayed Female,1 year
A694968,*Caroline,Cat,Suffering,Spayed Female,10 years
A695056,Nala,Dog,Aggressive,Spayed Female,3 years
A695212,,Cat,Suffering,Intact Female,12 years
A695219,*Sarai,Cat,Suffering,Spayed Female,11 years
A695225,,Cat,Suffering,Intact Male,2 months
A695257,,Cat,Suffering,Neutered Male,12 years
A695325,,Dog,Suffering,Intact Female,13 years
A695345,*Lacey,Dog,Aggressive,Spayed Female,3 years
A695350,Simba,Dog,Aggressive,Intact Male,1 year
A695373,,Cat,Suffering,Intact Male,3 years
A695426,,Cat,Suffering,Neutered Male,1 year
A695488,Zuko,Dog,Aggressive,Intact Male,6 years
A695490,,Cat,Suffering,Intact Male,4 years
A695504,Coco,Dog,Suffering,Spayed Female,3 years
A695504,Coco,Dog,Aggressive,Spayed Female,3 years
A695551,Gordo,Dog,Suffering,Intact Male,4 months
