animal_id,name,animal_type,outcome_subtype,sex_upon_outcome,age_upon_outcome
A652379,Bubba,Cat,Suffering,Neutered Male,4 years
A652513,Peaches,Dog,Aggressive,Spayed Female,3 years
A653125,Chiquilin,Dog,Suffering,Intact Male,3 years
A654355,Kilo,Dog,Aggressive,Neutered Male,1 year
A654483,Chocolate,Dog,Aggressive,Neutered Male,2 years
A656477,Bowser,Dog,Behavior,Neutered Male,4 years
A656520,Emily,Cat,Suffering,Spayed Female,1 year
A656567,Sumo,Dog,Aggressive,Neutered Male,5 years
A656761,Gotti,Dog,Court/Investigation,Intact Male,7 years
A656967,Homer,Dog,Aggressive,Intact Male,3 years
A656968,Litle Girl,Dog,Aggressive,Spayed Female,3 years
A657286,Chako,Dog,Court/Investigation,Intact Male,1 year
A657375,Bella,Dog,Rabies Risk,Spayed Female,2 years
A657708,*Jolene,Dog,Aggressive,Spayed Female,2 years
A657709,*Roy,Dog,Aggressive,Neutered Male,2 years
A657753,Wiz,Dog,Aggressive,Neutered Male,1 year
A657764,Peyton,Dog,Behavior,Spayed Female,1 year
A658013,*Marcos,Dog,Behavior,Neutered Male,7 years
A658199,*Marley,Dog,Aggressive,Neutered Male,2 years
A658515,Barkley,Dog,Aggressive,Neutered Male,3 years
A658843,Rudy,Dog,Court/Investigation,Neutered Male,4 years
A660156,Big Boy,Dog,Aggressive,Neutered Male,4 years
A660295,Blue,Dog,Aggressive,Intact Male,2 years
A661676,Chori,Dog,Aggressive,Spayed Female,7 years
A661776,,Cat,Suffering,Spayed Female,6 years
A661789,Tank,Dog,Behavior,Neutered Male,2 years
A661911,*Oz,Dog,Behavior,Neutered Male,2 years
A661916,Bella,Dog,Aggressive,Spayed Female,2 years
A661933,*Nutella,Cat,Suffering,Spayed Female,10 years
A662427,Polly,Cat,Suffering,Spayed Female,7 years
A662603,*Tucker,Dog,Behavior,Neutered Male,2 years
A662657,*Gabe,Dog,Aggressive,Neutered Male,3 years
A663026,*Percy,Dog,Behavior,Neutered Male,2 years
A663158,*Preston,Dog,Behavior,Neutered Male,4 years
A663273,Diamond,Dog,Behavior,Spayed Female,2 years
A663299,Jedi,Dog,Aggressive,Neutered Male,4 years
A663324,*Minnie,Cat,Suffering,Spayed Female,2 months
A663328,*Jimmy,Dog,Aggressive,Neutered Male,5 years
A663342,Deco,Dog,Behavior,Neutered Male,1 year
A663346,*July,Dog,Aggressive,Spayed Female,1 year
A663347,Crash,Dog,Aggressive,Intact Male,6 years
A663488,Rocky,Dog,Rabies Risk,Neutered Male,2 years
A663527,Taboo,Cat,Suffering,Spayed Female,8 years
A663546,*Gage,Dog,Aggressive,Neutered Male,2 years
A663667,*Cody,Dog,Behavior,Neutered Male,2 years
A663692,Austin,Dog,Aggressive,Neutered Male,6 years
A663822,Bluto,Dog,Rabies Risk,Neutered Male,1 year
A663861,,Dog,Behavior,Intact Female,1 year
A663886,Trudy,Dog,Medical,Spayed Female,2 years
A663887,Hooch,Dog,Medical,Neutered Male,3 years
A663938,,Dog,Suffering,Neutered Male,10 years
A663962,Terra,Dog,Aggressive,Intact Female,2 years
A664027,*Tessa,Dog,Behavior,Intact Female,2 years
A664034,*Mallory,Dog,Behavior,Intact Female,2 years
A664042,,Dog,Suffering,Intact Male,2 years
A664105,*Dodger,Dog,Aggressive,Intact Male,3 years
A664193,*Carrie,Cat,Suffering,Intact Female,2 months
A664233,Stevie,Dog,Suffering,Intact Female,3 years
A664234,,Dog,Suffering,Intact Male,8 years
A664238,,Cat,Medical,Unknown,4 months
A664259,*Petunia,Dog,Aggressive,Intact Female,5 years
A664270,Champ,Dog,Aggressive,Intact Male,3 years
A664288,,Cat,Suffering,Intact Male,2 years
A664308,Bruce,Dog,Court/Investigation,Intact Male,10 years
A664326,*Wilbur,Dog,Aggressive,Intact Male,1 year
A664329,,Cat,Suffering,Intact Male,1 month
A664386,,Cat,Suffering,Intact Female,12 years
A664459,Miss Kitty,Cat,Suffering,Spayed Female,8 years
A664475,,Dog,Suffering,Intact Male,2 years
A664519,,Dog,Aggressive,Intact Male,6 years
A664608,Rosco,Dog,Behavior,Intact Male,3 years
A664683,,Cat,Suffering,Intact Male,4 years
A664686,Rock,Dog,Suffering,Intact Male,2 years
A664711,,Cat,Suffering,Intact Female,5 years
A664712,,Dog,Suffering,Unknown,4 weeks
A664714,*Bruce,Dog,Aggressive,Intact Male,4 years
A664716,*Harvey,Dog,Medical,Neutered Male,3 years
