,animal_id,name,animal_type,outcome_subtype,sex_upon_outcome,age_upon_outcome
1963,A705870,*Brandi,Cat,Suffering,Female,< 1 year
1964,A705881,,Cat,Suffering,Male,3 years
1949,A705654,*Clementine,Cat,Suffering,Female,< 1 year
1873,A704119,*Martina,Cat,Suffering,Female,< 1 year
1948,A705584,,Cat,Suffering,Male,< 1 year
1944,A705531,,Cat,Suffering,Female,5 years
1922,A705002,*Jack,Cat,Suffering,Male,8 years
1923,A705009,*Road Runner,Cat,Suffering,Male,< 1 year
1926,A705018,*Mason,Cat,Suffering,Male,< 1 year
1927,A705021,*Martell,Cat,Suffering,Male,< 1 year
1929,A705054,,Cat,Suffering,Unknown,1 year
1930,A705179,,Cat,Suffering,Female,< 1 year
1807,A702510,,Cat,Suffering,Unknown,< 1 year
1811,A702573,,Cat,Suffering,Male,3 years
1936,A705315,,Dog,Suffering,Male,13 years
1938,A705388,,Cat,Suffering,Male,8 years
1939,A705413,,Cat,Suffering,Male,3 years
1940,A705433,,Dog,Suffering,Male,< 1 year
1941,A705436,,Cat,Suffering,Male,< 1 year
1942,A705439,Rocky,Dog,Suffering,Male,< 1 year
1943,A705475,,Cat,Suffering,Unknown,< 1 year
1945,A705546,,Cat,Suffering,Male,12 years
1872,A704118,*Marshall,Cat,Suffering,Male,< 1 year
1871,A704115,,Cat,Suffering,Unknown,< 1 year
1868,A704038,,Cat,Suffering,Male,2 years
1803,A702389,,Cat,Suffering,Female,2 years
1841,A703381,,Cat,Suffering,Female,1 year
1823,A702878,,Cat,Suffering,Male,< 1 year
1813,A702630,*Swirly Girl,Cat,Suffering,Female,< 1 year
1806,A702509,,Dog,Suffering,Male,< 1 year
1810,A702564,,Cat,Suffering,Female,< 1 year
1815,A702756,,Cat,Suffering,Male,< 1 year
1816,A702775,,Cat,Suffering,Male,10 years
1817,A702779,,Cat,Suffering,Female,< 1 year
1818,A702817,,Cat,Suffering,Unknown,< 1 year
1819,A702818,,Cat,Suffering,Unknown,< 1 year
1820,A702819,,Cat,Suffering,Unknown,< 1 year
1821,A702820,,Cat,Suffering,Unknown,< 1 year
1801,A702362,,Cat,Suffering,Male,1 year
1822,A702876,,Cat,Suffering,Male,1 year
1800,A702356,,Cat,Suffering,Male,< 1 year
1797,A702317,,Cat,Suffering,Unknown,< 1 year
1780,A702114,Umami,Cat,Suffering,Female,2 years
1805,A702487,*Dolly,Dog,Suffering,Female,3 years
1959,A705837,,Cat,Suffering,Male,< 1 year
1782,A702171,,Cat,Suffering,Female,1 year
1783,A702201,*Odie,Cat,Suffering,Male,< 1 year
1786,A702220,,Dog,Suffering,Male,2 years
1787,A702221,,Cat,Suffering,Female,< 1 year
1788,A702224,*Peter,Cat,Suffering,Male,< 1 year
1789,A702233,Oreo,Cat,Suffering,Male,< 1 year
1790,A702243,,Dog,Suffering,Female,< 1 year
1791,A702245,,Cat,Suffering,Unknown,< 1 year
1793,A702291,Golden Boy,Cat,Suffering,Male,8 years
1794,A702297,,Dog,Suffering,Female,5 years
1795,A702301,,Cat,Suffering,Female,11 years
1796,A702309,,Dog,Suffering,Unknown,< 1 year
1798,A702321,Grace,Cat,Suffering,Unknown,12 years
1777,A702032,*Stanley,Cat,Suffering,Male,2 years
1784,A702207,,Cat,Suffering,Male,12 years
1785,A702213,,Cat,Suffering,Female,1 year
1808,A702522,Beast,Dog,Suffering,Male,1 year
1825,A702894,Popeye,Dog,Suffering,Male,3 years
1852,A703494,*Stormy,Cat,Suffering,Female,< 1 year
1099,A684907,Sammie,Dog,Suffering,Male,12 years
1960,A705843,,Dog,Suffering,Female,< 1 year
1855,A703570,,Dog,Suffering,Male,2 years
1856,A703648,,Cat,Suffering,Female,1 year
1857,A703664,,Cat,Suffering,Male,2 years
1858,A703727,*Crispin,Cat,Suffering,Male,< 1 year
1859,A703742,,Cat,Suffering,Female,< 1 year
1860,A703771,,Cat,Suffering,Male,< 1 year
1862,A703888,,Dog,Suffering,Male,1 year
1863,A703889,,Dog,Suffering,Male,5 years
1864,A703908,*Pony,Cat,Suffering,Male,< 1 year
1865,A703921,,Cat,Suffering,Female,< 1 year
1866,A703956,,Dog,Suffering,Female,14 years
1867,A703994,*Cherry,Cat,Suffering,Female,< 1 year
1229,A688321,*Jenny,Cat,Suffering,Female,1 year
1848,A703467,,Cat,Suffering,Unknown,< 1 year
1849,A703471,,Dog,Suffering,Female,3 years
1847,A703466,,Cat,Suffering,Unknown,< 1 year
1826,A702918,,Cat,Suffering,Female,2 years
1828,A702945,,Cat,Suffering,Unknown,< 1 year
1829,A702960,,Cat,Suffering,Female,1 year
1830,A702993,Chiquis,Dog,Suffering,Female,3 years
1832,A703075,,Cat,Suffering,Male,< 1 year
1833,A703094,,Dog,Suffering,Male,8 years
1834,A703102,,Cat,Suffering,Unknown,< 1 year
1835,A703137,Chakal,Dog,Suffering,Male,11 years
1836,A703179,,Cat,Suffering,Male,< 1 year
1837,A703233,,Cat,Suffering,Male,4 years
1838,A703236,Tinkerbell,Dog,Suffering,Unknown,9 years
1839,A703269,,Dog,Suffering,Female,< 1 year
1851,A703485,Herman,Cat,Suffering,Male,5 years
1931,A705208,,Cat,Suffering,Unknown,< 1 year
1853,A703504,,Dog,Suffering,Female,2 years
1228,A688317,,Cat,Suffering,Male,< 1 year
1846,A703465,,Cat,Suffering,Unknown,< 1 year
1262,A689371,,Cat,Suffering,Unknown,< 1 year
1264,A689393,,Dog,Suffering,Male,2 years
1548,A695759,*Popsicle,Cat,Suffering,Female,1 year
1546,A695726,,Cat,Suffering,Male,5 years
1249,A689089,,Cat,Suffering,Male,13 years
1251,A689124,,Dog,Suffering,Male,9 years
1252,A689138,,Cat,Suffering,Female,< 1 year
1253,A689141,,Dog,Suffering,Female,< 1 year
1255,A689192,,Cat,Suffering,Male,< 1 year
1256,A689193,,Cat,Suffering,Male,< 1 year
1248,A689075,,Cat,Suffering,Female,2 years
1258,A689208,,Cat,Suffering,Male,2 years
1260,A689295,*Shakespeare,Cat,Suffering,Male,< 1 year
1263,A689391,,Cat,Suffering,Male,< 1 year
1261,A689342,Harley,Dog,Suffering,Male,1 year
1266,A689496,Winston,Dog,Suffering,Male,10 years
1845,A703464,,Cat,Suffering,Unknown,< 1 year
1854,A703505,,Cat,Suffering,Male,2 years
1259,A689260,Gambit,Dog,Suffering,Male,7 years
1247,A689071,,Cat,Suffering,Female,< 1 year
1244,A688907,,Cat,Suffering,Unknown,2 years
1241,A688841,,Cat,Suffering,Female,< 1 year
1218,A688122,*Grace,Dog,Suffering,Female,12 years
1219,A688127,,Dog,Suffering,Female,< 1 year
1221,A688174,,Cat,Suffering,Female,10 years
1223,A688196,Max,Dog,Suffering,Male,9 years
1224,A688263,,Cat,Suffering,Male,3 years
1225,A688287,,Dog,Suffering,Male,5 years
1227,A688316,,Cat,Suffering,Male,< 1 year
1230,A688430,Kiedis,Dog,Suffering,Male,6 years
1231,A688437,Duke,Dog,Suffering,Male,14 years
1730,A700768,,Dog,Suffering,Male,15 years
1732,A700775,,Cat,Suffering,Unknown,< 1 year
1267,A689512,,Cat,Suffering,Unknown,3 years
1269,A689626,,Cat,Suffering,Female,< 1 year
1270,A689711,,Cat,Suffering,Male,7 years
1273,A689739,,Dog,Suffering,Female,2 years
1310,A690516,,Cat,Suffering,Female,5 years
1312,A690547,,Dog,Suffering,Female,2 years
1313,A690571,,Dog,Suffering,Female,2 years
1314,A690618,,Cat,Suffering,Female,< 1 year
1317,A690737,,Cat,Suffering,Male,< 1 year
1319,A690763,,Dog,Suffering,Female,9 years
1323,A690797,,Cat,Suffering,Male,12 years
1324,A690798,Spot,Dog,Suffering,Male,< 1 year
1325,A690799,Tips,Dog,Suffering,Female,< 1 year
1328,A690843,,Cat,Suffering,Male,1 year
1330,A690909,,Cat,Suffering,Female,9 years
1288,A690034,,Cat,Suffering,Female,6 years
1331,A690927,,Cat,Suffering,Female,< 1 year
1335,A691094,,Cat,Suffering,Female,< 1 year
1337,A691108,,Cat,Suffering,Unknown,< 1 year
1309,A690462,,Cat,Suffering,Female,< 1 year
1216,A688078,,Cat,Suffering,Unknown,< 1 year
1307,A690447,,Dog,Suffering,Male,14 years
1303,A690406,,Cat,Suffering,Male,4 years
1274,A689783,,Cat,Suffering,Female,< 1 year
1275,A689785,,Dog,Suffering,Male,10 years
1278,A689810,,Cat,Suffering,Male,< 1 year
1282,A689957,Weiser,Cat,Suffering,Male,20 years
1284,A689965,,Cat,Suffering,Male,1 year
1327,A690833,*Marmalade,Cat,Suffering,Male,< 1 year
1286,A689988,Chico,Dog,Suffering,Male,10 years
1236,A688658,,Cat,Suffering,Male,< 1 year
1290,A690081,,Dog,Suffering,Male,< 1 year
1298,A690263,,Cat,Suffering,Male,3 years
1299,A690285,,Dog,Suffering,Unknown,8 years
1300,A690297,,Cat,Suffering,Female,1 year
1301,A690386,,Cat,Suffering,Male,< 1 year
1306,A690446,,Cat,Suffering,Male,2 years
1215,A688073,,Cat,Suffering,Female,10 years
1213,A688059,*Tina,Cat,Suffering,Female,< 1 year
1210,A688003,,Cat,Suffering,Male,< 1 year
1128,A685548,,Dog,Suffering,Male,4 years
1129,A685551,,Dog,Suffering,Female,10 years
1130,A685572,Sissy,Cat,Suffering,Unknown,13 years
1133,A685618,,Cat,Suffering,Female,5 years
1134,A685670,,Cat,Suffering,Male,< 1 year
1285,A689981,,Dog,Suffering,Female,9 years
1136,A685700,*Summerlee,Dog,Suffering,Female,14 years
1489,A694190,*Lily Pad,Cat,Suffering,Male,12 years
1138,A685729,,Cat,Suffering,Male,15 years
1139,A685740,,Cat,Suffering,Male,3 years
1142,A685779,,Cat,Suffering,Unknown,< 1 year
1143,A685816,,Cat,Suffering,Female,4 years
1144,A685822,,Dog,Suffering,Female,5 years
1145,A685827,Papi,Dog,Suffering,Male,< 1 year
1148,A685986,,Dog,Suffering,Male,9 years
1127,A685490,Jake,Dog,Suffering,Male,11 years
1149,A686021,*Stanley,Dog,Suffering,Male,< 1 year
1126,A685475,,Dog,Suffering,Female,8 years
1124,A685423,,Cat,Suffering,Male,12 years
1105,A685039,*Chilli,Cat,Suffering,Male,12 years
1106,A685087,,Cat,Suffering,Unknown,1 year
1289,A690069,,Cat,Suffering,Female,< 1 year
1107,A685092,,Cat,Suffering,Female,< 1 year
1296,A690235,*Forrest,Dog,Suffering,Male,8 years
1109,A685176,*Forrest,Dog,Suffering,Male,< 1 year
1111,A685183,,Dog,Suffering,Male,8 years
1151,A686086,Rosie,Cat,Suffering,Female,2 years
1135,A685683,Tobie,Dog,Suffering,Male,< 1 year
1115,A685235,,Cat,Suffering,Male,< 1 year
1116,A685249,Booger,Dog,Suffering,Male,6 years
1117,A685284,,Cat,Suffering,Unknown,< 1 year
1118,A685285,,Cat,Suffering,Unknown,< 1 year
1119,A685286,,Cat,Suffering,Female,1 year
1121,A685384,,Cat,Suffering,Male,10 years
1122,A685414,,Cat,Suffering,Unknown,8 years
1123,A685421,,Cat,Suffering,Female,8 years
1125,A685453,,Cat,Suffering,Male,1 year
1338,A691120,,Cat,Suffering,Female,< 1 year
1150,A686063,,Cat,Suffering,Male,2 years
1152,A686139,,Cat,Suffering,Male,< 1 year
1181,A687005,,Cat,Suffering,Female,3 years
1177,A686888,Chiquita,Dog,Suffering,Female,14 years
1183,A687025,,Dog,Suffering,Male,10 years
1188,A687174,*Beau,Dog,Suffering,Male,3 years
1190,A687244,,Dog,Suffering,Female,10 years
1194,A687331,,Cat,Suffering,Male,< 1 year
1196,A687514,,Cat,Suffering,Female,< 1 year
1199,A687604,,Cat,Suffering,Male,4 years
1200,A687608,,Cat,Suffering,Female,< 1 year
1201,A687637,,Cat,Suffering,Female,< 1 year
1202,A687699,,Dog,Suffering,Female,1 year
1203,A687748,,Dog,Suffering,Female,< 1 year
1206,A687914,Ginger,Cat,Suffering,Female,2 years
1207,A687917,,Cat,Suffering,Female,15 years
1208,A687919,,Cat,Suffering,Female,< 1 year
1182,A687020,Matilda,Dog,Suffering,Female,6 years
1184,A687082,,Cat,Suffering,Female,< 1 year
1187,A687170,,Cat,Suffering,Male,1 year
1137,A685701,,Cat,Suffering,Female,8 years
1487,A694173,,Dog,Suffering,Male,< 1 year
1547,A695750,Loca,Dog,Suffering,Female,13 years
1176,A686862,,Cat,Suffering,Male,< 1 year
1154,A686245,,Cat,Suffering,Female,8 years
1159,A686312,,Cat,Suffering,Female,< 1 year
1163,A686579,,Cat,Suffering,Female,< 1 year
1164,A686599,,Cat,Suffering,Female,< 1 year
1166,A686683,Ira,Dog,Suffering,Male,12 years
1167,A686715,,Dog,Suffering,Female,1 year
1168,A686739,,Cat,Suffering,Male,< 1 year
1169,A686777,Gandalf,Cat,Suffering,Male,3 years
1170,A686782,,Cat,Suffering,Male,< 1 year
1171,A686809,,Cat,Suffering,Female,< 1 year
1172,A686834,,Cat,Suffering,Male,< 1 year
1174,A686857,,Cat,Suffering,Male,< 1 year
1175,A686861,,Cat,Suffering,Female,2 years
2516,A731594,,Cat,Suffering,Male,4 years
2519,A731785,,Cat,Suffering,Male,< 1 year
1113,A685208,,Cat,Suffering,Male,10 years
1339,A691124,,Dog,Suffering,Female,11 years
1341,A691240,,Dog,Suffering,Female,10 years
1469,A693851,,Dog,Suffering,Male,10 years
1471,A693870,,Dog,Suffering,Male,5 years
1472,A693872,,Cat,Suffering,Male,8 years
1473,A693911,,Dog,Suffering,Female,1 year
1476,A693994,,Dog,Suffering,Male,6 years
1478,A694022,,Cat,Suffering,Female,< 1 year
1468,A693834,,Cat,Suffering,Unknown,3 years
1479,A694028,,Cat,Suffering,Female,10 years
1482,A694072,,Cat,Suffering,Unknown,1 year
1483,A694139,,Cat,Suffering,Male,5 years
1484,A694160,*Annie,Dog,Suffering,Female,2 years
1112,A685187,,Cat,Suffering,Female,< 1 year
1237,A688721,Inky,Cat,Suffering,Male,12 years
1490,A694210,,Cat,Suffering,Male,2 years
1462,A693805,Gray-1,Cat,Suffering,Male,4 years
1461,A693787,,Dog,Suffering,Male,< 1 year
1466,A693824,,Cat,Suffering,Female,1 year
1465,A693820,,Dog,Suffering,Female,1 year
1445,A693333,,Cat,Suffering,Male,1 year
1446,A693338,,Dog,Suffering,Male,< 1 year
1448,A693413,,Cat,Suffering,Female,5 years
1449,A693457,,Cat,Suffering,Female,10 years
1450,A693481,,Cat,Suffering,Male,2 years
1452,A693520,,Dog,Suffering,Female,1 year
1455,A693584,Diego,Dog,Suffering,Male,7 years
1456,A693585,,Dog,Suffering,Female,12 years
1457,A693611,*George,Dog,Suffering,Male,11 years
1458,A693618,,Dog,Suffering,Male,< 1 year
1460,A693720,,Cat,Suffering,Female,< 1 year
1467,A693825,,Cat,Suffering,Female,< 1 year
1480,A694038,,Cat,Suffering,Unknown,2 years
1538,A695551,Gordo,Dog,Suffering,Male,< 1 year
1464,A693818,,Cat,Suffering,Male,2 years
1492,A694216,Tucker,Dog,Suffering,Male,9 years
1493,A694223,,Cat,Suffering,Female,2 years
1494,A694237,Valentine,Dog,Suffering,Male,3 years
1495,A694244,Gatsby,Cat,Suffering,Male,5 years
1526,A695219,*Sarai,Cat,Suffering,Female,11 years
1527,A695225,,Cat,Suffering,Male,< 1 year
1528,A695257,,Cat,Suffering,Male,12 years
1529,A695325,,Dog,Suffering,Female,13 years
1532,A695373,,Cat,Suffering,Male,3 years
1533,A695426,,Cat,Suffering,Male,1 year
1535,A695490,,Cat,Suffering,Male,4 years
1536,A695504,Coco,Dog,Suffering,Female,3 years
1539,A695617,,Cat,Suffering,Male,12 years
1463,A693808,,Cat,Suffering,Male,3 years
1540,A695654,*Asha,Dog,Suffering,Female,< 1 year
1508,A694554,,Cat,Suffering,Female,1 year
1505,A694524,,Cat,Suffering,Unknown,1 year
1543,A695672,,Dog,Suffering,Unknown,11 years
1545,A695723,,Cat,Suffering,Female,6 years
1525,A695212,,Cat,Suffering,Female,12 years
1442,A693304,,Dog,Suffering,Female,2 years
1523,A694968,*Caroline,Cat,Suffering,Female,10 years
1520,A694919,,Dog,Suffering,Male,10 years
1496,A694250,,Cat,Suffering,Female,< 1 year
1498,A694300,,Dog,Suffering,Male,2 years
1499,A694332,,Dog,Suffering,Male,< 1 year
1500,A694335,,Cat,Suffering,Male,< 1 year
1501,A694353,,Cat,Suffering,Female,10 years
1503,A694361,,Cat,Suffering,Female,1 year
1504,A694445,,Cat,Suffering,Male,2 years
1507,A694553,,Cat,Suffering,Unknown,5 years
1542,A695670,,Dog,Suffering,Male,< 1 year
1376,A691853,,Dog,Suffering,Male,8 years
1510,A694649,,Cat,Suffering,Female,1 year
1511,A694690,,Cat,Suffering,Female,8 years
1514,A694764,,Cat,Suffering,Unknown,3 years
1517,A694872,,Cat,Suffering,Female,8 years
1519,A694909,Cookie,Dog,Suffering,Female,10 years
1522,A694928,,Cat,Suffering,Female,1 year
1441,A693293,,Dog,Suffering,Male,8 years
1439,A693224,,Cat,Suffering,Male,1 year
1438,A693166,*Sylvia,Cat,Suffering,Female,10 years
1370,A691810,,Dog,Suffering,Female,14 years
1372,A691826,Todd,Cat,Suffering,Male,11 years
1374,A691838,Avaddon,Dog,Suffering,Male,12 years
1375,A691842,,Dog,Suffering,Male,< 1 year
1541,A695661,,Cat,Suffering,Female,7 years
3019,A769067,Baby Girl,Dog,Suffering,Female,10 years
3027,A769546,,Cat,Suffering,Male,10 years
1378,A691861,,Dog,Suffering,Female,3 years
1349,A691330,,Dog,Suffering,Male,3 years
1382,A691968,,Cat,Suffering,Female,7 years
1383,A691979,,Cat,Suffering,Female,< 1 year
1384,A691997,Chicka,Dog,Suffering,Female,2 years
1385,A692010,,Dog,Suffering,Male,5 years
1387,A692059,,Cat,Suffering,Male,< 1 year
1379,A691867,,Cat,Suffering,Male,< 1 year
1367,A691694,Mango,Cat,Suffering,Female,10 years
1366,A691693,,Cat,Suffering,Female,3 years
1365,A691685,,Dog,Suffering,Male,6 years
1342,A691259,,Cat,Suffering,Unknown,< 1 year
1343,A691270,Shorty,Dog,Suffering,Male,< 1 year
1344,A691277,*Clove,Cat,Suffering,Female,< 1 year
1346,A691298,,Cat,Suffering,Male,2 years
1727,A700582,,Cat,Suffering,Female,2 years
745,A675353,,Dog,Suffering,Unknown,< 1 year
1352,A691339,Muneca,Dog,Suffering,Female,2 years
1356,A691423,Blacky,Dog,Suffering,Male,7 years
1357,A691437,*Philippe,Cat,Suffering,Male,< 1 year
1358,A691454,*Beloved,Cat,Suffering,Male,1 year
1359,A691559,Tigey Sue,Cat,Suffering,Female,12 years
1360,A691580,,Cat,Suffering,Female,< 1 year
1362,A691613,*Kasey,Cat,Suffering,Female,< 1 year
1363,A691626,Raja,Cat,Suffering,Female,15 years
1364,A691644,,Cat,Suffering,Female,< 1 year
1388,A692060,,Cat,Suffering,Female,< 1 year
1340,A691125,,Cat,Suffering,Unknown,< 1 year
1389,A692070,,Cat,Suffering,Female,< 1 year
1391,A692121,,Cat,Suffering,Male,1 year
1416,A692472,,Cat,Suffering,Male,< 1 year
1348,A691313,,Cat,Suffering,Female,12 years
1377,A691859,,Cat,Suffering,Female,2 years
1421,A692658,Chicken Kitt,Cat,Suffering,Female,< 1 year
1409,A692416,,Dog,Suffering,Female,2 years
1422,A692659,,Cat,Suffering,Female,10 years
1392,A692122,,Dog,Suffering,Unknown,< 1 year
1423,A692739,,Cat,Suffering,Male,< 1 year
1424,A692765,,Cat,Suffering,Male,< 1 year
1427,A692891,,Dog,Suffering,Female,< 1 year
1428,A692900,,Dog,Suffering,Female,2 years
1430,A692956,,Cat,Suffering,Male,10 years
1431,A693045,,Cat,Suffering,Male,6 years
1432,A693052,Steve,Dog,Suffering,Male,2 years
1434,A693122,,Cat,Suffering,Male,< 1 year
1436,A693149,*Simone,Dog,Suffering,Female,< 1 year
1437,A693165,*Fern,Dog,Suffering,Female,12 years
1415,A692465,Mary,Dog,Suffering,Female,< 1 year
1390,A692079,,Cat,Suffering,Female,4 years
1402,A692322,,Dog,Suffering,Female,< 1 year
1412,A692441,Wolfe,Dog,Suffering,Male,< 1 year
1417,A692485,,Cat,Suffering,Female,20 years
1380,A691871,,Cat,Suffering,Female,< 1 year
1395,A692190,Henry,Dog,Suffering,Male,6 years
1396,A692191,,Dog,Suffering,Female,8 years
1397,A692197,Bubba,Dog,Suffering,Male,2 years
1398,A692208,,Cat,Suffering,Female,< 1 year
1399,A692234,,Cat,Suffering,Female,< 1 year
1411,A692433,,Dog,Suffering,Male,< 1 year
1400,A692256,,Dog,Suffering,Male,3 years
1403,A692344,,Cat,Suffering,Male,10 years
1404,A692360,,Cat,Suffering,Male,2 years
1406,A692382,,Dog,Suffering,Male,2 years
1407,A692408,Storm,Dog,Suffering,Female,5 years
1408,A692414,,Cat,Suffering,Male,13 years
1410,A692427,,Cat,Suffering,Female,< 1 year
2750,A750324,,Cat,Underage,Unknown,< 1 year
2150,A712056,,Cat,,Female,2 years
2153,A712179,,Cat,,Unknown,< 1 year
2172,A713422,,Cat,,Male,8 years
2321,A721056,Buck,Dog,,Male,5 years
2326,A721429,Princessa,Dog,,Female,2 years
2443,A728033,,Cat,,Unknown,< 1 year
2472,A729192,,Dog,,Female,2 years
2584,A737084,,Cat,,Unknown,2 years
2607,A738330,,Cat,,Male,1 year
2680,A744619,,Dog,,Female,< 1 year
2684,A744830,Edward Hyde,Dog,,Male,9 years
2685,A744863,,Cat,,Unknown,2 years
2689,A745192,,Cat,,Female,1 year
2690,A745206,,Cat,,Male,1 year
2714,A747414,Hambone,Cat,,Male,5 years
2729,A748902,*Hoppus,Cat,,Male,< 1 year
3120,A776177,,Cat,,Female,< 1 year
3122,A776244,,Cat,,Male,< 1 year
3140,A780403,Pulguis,Dog,,Male,< 1 year
3171,A784020,,Dog,,Unknown,2 years
3192,A788721,,Cat,,Male,
